code;economy;continente;year;finance;gov_support;taxes_bureaucracy;gov_programs;basic_school_entrepreneurship;university_entrepreneurial_education;r_d_transfer;commercial_infraestructure;internal_market_dynamics;internal_market_openness;physical_infraestruture;cultural_social_norms
55;Brazil;América;2019;2.93;2.50;1.87;2.56;1.78;2.67;2.25;2.82;3.44;2.49;3.23;2.47
55;Brazil;América;2018;2.92;1.78;1.45;2.08;1.54;2.46;2.12;2.69;3.46;2.20;3.22;2.10
55;Brazil;América;2017;2.59;1.87;1.58;1.95;1.46;2.42;1.84;2.58;3.66;2.20;3.13;2.19
55;Brazil;América;2016;2.65;2.11;1.49;2.06;1.42;2.42;1.84;2.70;3.42;2.23;2.80;2.34
55;Brazil;América;2015;2.36;2.20;1.53;2.07;1.42;2.33;1.79;2.52;3.04;2.09;2.88;2.38
55;Brazil;América;2014;2.46;2.40;1.46;2.24;1.48;2.54;2.00;2.50;3.36;2.24;2.93;2.36
55;Brazil;América;2013;2.34;2.50;1.68;2.28;1.55;2.41;2.00;2.35;3.02;2.13;3.04;2.74
55;Brazil;América;2012;2.42;2.30;1.62;2.28;1.57;2.41;1.98;2.54;3.42;2.22;2.99;2.66
55;Brazil;América;2011;2.43;2.21;1.52;2.42;1.56;2.57;2.18;2.57;3.50;2.26;3.17;2.60
55;Brazil;América;2010;2.47;2.13;1.43;2.33;1.45;2.40;2.29;2.60;3.81;2.21;3.39;2.63
56;Chile;América;2019;2.42;2.88;2.85;3.24;1.85;2.92;2.41;2.70;2.58;2.51;4.21;3.13
56;Chile;América;2018;2.35;3.14;2.85;3.38;1.47;3.03;2.25;2.47;2.63;2.26;4.28;3.23
56;Chile;América;2017;2.18;2.49;2.77;3.08;1.58;2.73;2.09;2.53;2.50;2.37;4.21;3.02
56;Chile;América;2016;2.14;2.60;2.86;3.05;1.48;2.94;2.41;3.00;2.25;2.40;4.41;3.03
56;Chile;América;2015;2.16;2.83;3.21;3.29;1.52;2.96;2.09;2.81;2.04;2.33;4.39;3.10
56;Chile;América;2014;2.35;2.77;2.91;3.06;1.63;2.98;2.20;2.80;2.18;2.57;4.33;3.09
56;Chile;América;2013;2.47;3.44;3.23;3.06;1.73;2.71;2.23;2.67;2.40;2.28;4.17;2.83
56;Chile;América;2012;2.29;3.07;2.97;2.97;1.96;3.01;2.15;2.74;2.51;2.48;4.07;2.89
56;Chile;América;2011;2.42;3.09;2.84;2.79;1.78;2.72;2.27;2.87;2.41;2.47;4.07;2.93
56;Chile;América;2010;2.42;2.64;2.51;2.57;1.60;2.84;2.18;2.72;2.40;2.45;3.91;2.57
57;Colombia;América;2019;2.23;2.97;2.16;2.77;2.11;3.25;2.35;2.52;2.75;2.55;3.30;2.88
57;Colombia;América;2018;1.97;2.31;2.26;2.74;2.10;3.42;2.06;2.59;2.46;2.48;3.75;3.21
57;Colombia;América;2017;2.15;2.36;2.03;2.66;2.24;3.37;2.29;2.85;2.67;2.53;3.67;3.40
57;Colombia;América;2016;2.22;2.56;2.23;2.77;1.78;3.26;2.15;2.54;2.78;2.34;3.60;3.43
57;Colombia;América;2015;1.92;2.31;2.10;2.62;1.77;3.21;2.06;2.49;2.42;2.50;3.63;3.12
57;Colombia;América;2014;2.37;2.75;2.41;2.95;2.14;2.97;2.17;2.79;2.70;2.55;3.38;2.97
57;Colombia;América;2013;2.26;2.83;2.59;2.99;2.26;3.19;2.37;2.83;2.89;2.77;3.32;3.09
57;Colombia;América;2012;2.32;3.11;2.57;2.96;2.47;3.15;2.52;2.78;2.50;2.61;3.15;3.04
57;Colombia;América;2011;1.96;2.66;2.12;2.54;2.14;3.23;2.06;2.44;2.62;2.14;3.00;2.78
57;Colombia;América;2010;2.30;2.71;2.67;2.98;2.18;3.45;2.29;2.90;2.35;2.82;3.61;3.13
385;Croatia;Europa;2019;2.70;2.14;1.92;2.27;1.77;2.17;1.97;2.49;3.21;2.21;3.58;1.98
385;Croatia;Europa;2018;2.41;1.69;1.34;2.02;1.52;2.27;1.79;2.24;3.14;1.82;3.33;1.72
385;Croatia;Europa;2017;2.42;2.06;1.43;2.21;1.54;2.25;2.04;2.78;3.55;1.91;3.53;1.80
385;Croatia;Europa;2016;2.30;1.73;1.48;2.14;1.61;2.33;1.70;2.56;3.29;1.95;3.77;1.82
385;Croatia;Europa;2015;2.04;1.82;1.35;1.97;1.32;2.14;1.77;2.60;3.64;1.84;3.82;1.62
385;Croatia;Europa;2014;2.32;2.15;1.55;2.27;1.68;2.35;2.04;2.90;3.37;2.08;3.67;2.02
385;Croatia;Europa;2013;2.29;2.19;1.83;2.48;1.86;2.63;2.08;2.70;3.63;2.11;3.50;2.02
385;Croatia;Europa;2012;2.12;1.96;1.74;2.19;1.95;2.65;2.13;2.78;3.47;2.09;3.50;1.98
385;Croatia;Europa;2011;2.26;2.07;1.84;2.36;1.88;2.73;2.25;2.84;3.32;2.22;3.65;2.27
385;Croatia;Europa;2010;2.42;2.27;1.96;2.49;2.11;2.76;2.30;2.83;3.31;2.17;3.62;2.42
49;Germany;Europa;2019;3.13;2.60;2.64;3.56;1.97;2.93;2.89;3.59;3.43;3.08;3.63;2.92
49;Germany;Europa;2018;2.84;2.60;2.63;3.47;1.84;2.73;2.77;3.39;3.06;3.10;3.61;2.65
49;Germany;Europa;2017;2.84;2.68;2.48;3.40;1.56;2.58;2.60;3.43;2.84;2.70;3.96;2.62
49;Germany;Europa;2016;2.94;2.37;2.48;3.43;1.70;2.59;2.49;3.34;3.13;3.08;3.76;2.59
49;Germany;Europa;2015;2.59;2.54;2.34;3.37;1.65;2.49;2.38;3.53;2.69;3.05;3.81;2.53
49;Germany;Europa;2014;2.84;2.93;2.87;3.46;2.13;2.81;2.75;3.34;2.84;2.81;3.82;2.65
49;Germany;Europa;2013;2.84;2.58;2.59;3.43;1.94;2.59;2.80;3.32;3.18;2.77;3.71;2.78
49;Germany;Europa;2012;2.89;2.89;2.78;3.57;2.07;2.88;2.72;3.34;2.91;2.84;3.87;2.74
49;Germany;Europa;2011;2.95;2.94;2.85;3.63;1.92;2.68;2.85;3.30;2.88;2.95;3.84;2.64
49;Germany;Europa;2010;2.87;3.10;2.72;3.71;2.07;2.83;2.85;3.16;2.96;2.77;3.93;2.61
30;Greece;Europa;2019;2.52;2.40;1.88;2.30;1.93;2.71;2.68;3.02;3.08;2.61;3.47;2.73
30;Greece;Europa;2018;2.44;2.02;1.65;2.01;1.69;2.35;2.38;2.70;2.71;2.24;3.81;2.48
30;Greece;Europa;2017;1.92;1.99;1.57;1.93;1.75;2.67;2.33;2.82;2.95;2.34;3.61;2.49
30;Greece;Europa;2016;2.15;1.78;1.49;1.77;1.84;2.62;2.49;2.79;3.38;2.49;3.77;2.25
30;Greece;Europa;2015;1.84;1.85;1.55;1.75;1.68;2.78;2.32;2.71;3.02;1.89;3.67;2.14
